,mean_abs_shap
embN_147,0.00017019030439114081
embN_049,0.00016991704051509178
embH_180,0.00016943126930788442
embN_246,0.0001693800987856612
embH_215,0.00016911378553167866
embN_020,0.00016807306480686205
embN_061,0.00016719987723068196
embH_247,0.0001669882190268258
embH_149,0.0001656954755721306
embN_160,0.00016266361846854318
embH_090,0.00016260777118676042
embN_025,0.00015920040810118983
embN_233,0.00015639211543325485
embN_127,0.00015592731861507536
embN_212,0.00015139013303761117
embH_113,0.0001486619836664453
embN_122,0.00014790613190237317
embN_237,0.000147852804388172
embN_199,0.00014756850441510245
embN_235,0.00014695044651669267
embN_106,0.00014641103744919687
embH_165,0.0001438964870346052
embH_131,0.00014272339751750026
embN_101,0.00014222843565865075
embN_241,0.00014188031177489054
embN_221,0.0001416388537157948
embN_140,0.00014120251898615347
embH_116,0.0001409709369457529
embN_133,0.00014080600683547852
embH_209,0.0001407938428222002
embN_143,0.00013943092982178092
embH_218,0.00013636130873627428
embN_176,0.00013403790826034637
embN_149,0.00013191902826418636
embH_135,0.0001317515558003717
embH_197,0.00013159781871029165
embH_143,0.00013083430179125372
embN_084,0.00013079258870022633
embN_186,0.00012881206015500458
embH_167,0.00012794346658174803
embH_208,0.00012765430356299085
embH_159,0.00012381744140905725
embH_199,0.00011934025202162322
embH_230,0.00011693778482885613
embH_128,0.00011040579149818799
embH_220,0.00010974763236157587
